indice_tiempo,produccion_petroleo_crudo,productos_procesados,petroleo_crudo_procesado,produccion_gasoil,produccion_nafta_comun_mayor83_ron,produccion_nafta_super_mayor93_ron,produccion_nafta_mayor97_ron,produccion_fuel_oil,produccion_mezclas_ifo,produccion_butano,produccion_propano,produccion_aerokerosene,produccion_coque,ventas_gasoil,ventas_nafta_comun_mayor83_ron,ventas_nafta_super_mayor93_ron,ventas_nafta_mayor97_ron,despachos_asfalto
2003-10-01,3611.851913999999,2556.8,2558.422120010376,970.658304,240.298,215.262,79.323,208.05231,,93.18010000000001,76.669,94.313,132.806,909.327913,65.3074,174.1563,49.5264,55.582
2003-11-01,3450.8299270000007,2590.9,2592.2992549057008,1032.748191,157.14970000000002,267.98990000000003,112.8491,181.824758,,90.9264,78.486,126.382,147.133,869.1676709999999,58.277800000000006,158.90679999999998,45.6502,48.266
2003-12-01,3523.978700999999,2680.0,2554.255559967041,971.4283,169.31495999999999,212.49734,111.04085,169.42229999999998,,80.3763,70.005,128.793,137.322,931.9954550000001,68.17136,186.73779000000002,58.40926,47.476
2004-01-01,3458.681541999997,2914.4,2693.7022817955017,1068.0589309999998,186.02138,290.09414000000004,71.873,160.16452299999997,,90.2872,81.584,137.522,140.926,865.7521949999999,62.16198,184.96144,56.506,52.927
2004-02-01,3255.553386000001,2509.4,2338.654627090454,901.69244,151.51,237.64405,81.24503,144.38460700000002,,83.153,69.643,118.445,139.305,806.156162,54.349,170.34585,50.04803,51.741
2004-03-01,3370.994424399999,2859.1,2675.7857873334883,999.9524419999999,138.47244,278.68478,88.30591,213.778506,,87.8403,72.226,139.59,133.58,1000.4596789999999,58.32734,182.18457999999998,52.73511,61.676
2004-04-01,3242.6475609999993,2654.0,2429.4682999877928,954.5046,191.1695,238.77,94.842,188.5695,,98.8269,83.014,106.493,139.527,940.9156999999999,55.150800000000004,179.7879,52.719199999999994,49.064
2004-05-01,3509.717479,2769.3,2566.7099792785643,961.9915000000001,65.8125,305.01328,107.758,207.6615,,99.932,79.349,76.271,135.436,966.8414300000001,53.7791,169.78068,50.1126,45.417
2004-06-01,3374.0075557200007,2777.7,2562.9492049560545,971.129899,153.977,229.05238,123.15216000000001,211.252856,,96.20360000000001,79.251,120.939,133.432,931.75966,51.2362,157.29407999999998,53.79582,50.896
2004-07-01,3432.146184310002,2925.7,2724.483810089111,1031.39429,129.4485,288.17659999999995,120.261,202.38395,,103.016,83.013,124.811,143.764,909.90072,54.6719,168.9838,67.18839999999999,43.14
2004-08-01,3394.385786589998,2854.4,2649.299089477539,1013.7091899999999,172.485,190.054,73.21097999999999,194.38379999999998,,81.693,72.829,134.204,138.501,896.53116,51.2025,164.53539999999998,58.13228,47.719
2004-09-01,3367.4381680999995,2865.9,2673.756810974121,1059.9813700000002,172.464,236.682,66.13580999999999,217.91142000000002,,84.597,71.685,119.27,128.398,918.5110699999999,55.273,167.56077,57.569309999999994,48.857
2004-10-01,3441.611874189998,2986.0,2779.6386901855467,1071.66853,168.97292,291.73722999999995,66.75706,235.44000000000003,,84.099,74.473,138.095,144.853,936.70403,50.12592,172.90471,60.67396,62.074
2004-11-01,3221.8165418199997,2556.8,2377.3802822265625,907.0594660000002,177.96686,193.07264999999998,74.522,230.928081,,88.07,77.606,106.986,120.277,939.173955,48.86616,172.32995000000003,60.9557,56.606
2004-12-01,3363.9470050300024,2949.7,2714.511667724609,1070.755347,188.88012,221.47977000000003,98.33,254.003511,,91.678,77.733,136.604,137.874,1012.0152390000001,57.55847,201.51707000000002,73.2746,75.064
2005-01-01,3344.9707493200003,2760.9717660293577,2543.9499599609376,1019.6898590000001,190.916,278.571,74.315,182.017572,,84.621,70.949,115.131,133.193,955.94295,50.7865,192.17604,72.5592,50.608
2005-02-01,3019.839762109999,2696.9371870918276,2492.70349609375,945.4029059999999,93.4275,277.361,106.6363,223.57122199999998,,81.606,72.76,137.85,126.573,846.74855,45.943690000000004,172.92587,65.2846,61.997
2005-03-01,3336.577056699999,2941.9998708667754,2717.674017822266,1052.115437,119.053,221.975,134.1,233.329753,,93.951,79.309,144.592,142.805,1023.27526,48.838680000000004,190.68732,72.25238,63.59
2005-04-01,3231.491713600001,2613.6738151779773,2413.3488232116697,900.658172,152.24397,244.39334,66.439,226.436499,,62.681,55.692,115.516,120.097,1024.14989,44.09174,173.49011,65.264,49.964
2005-05-01,3364.1249665799983,2656.907899997711,2453.0466489868163,928.99569,101.574,283.0939,70.7425,236.37369999999999,,65.295,56.315,92.241,119.846,1012.44434,44.88934,174.59962,68.20885000000001,56.205
